Rank,Journal Name,Singular Value Score,Citation Count,Scholarly Output,SJR,SNIP,CiteScore,Percentile,Percent Cited,
5285,Global Biogeochemical Cycles,4.42483807109E-06,1492,328,2.701,1.221,4.55,94,90,
5286,Planta Medica,4.42515727021E-06,1247,634,0.654,0.94,1.97,57,71,
5287,Matrix Biology,4.42516247132E-06,1571,248,2.877,1.721,6.33,91,89,
5288,Disease Markers,4.42552253891E-06,1311,569,0.827,0.783,2.3,55,74,
5289,Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics,4.425872353E-06,664,1284,0.216,0.413,0.52,33,33,
5290,Planta Medica,4.42593062281E-06,1247,634,0.654,0.94,1.97,53,71,
5291,British Journal of Nursing,4.42593318303E-06,560,1390,0.285,0.527,0.4,38,24,
5292,Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics,4.42593712967E-06,664,1284,0.216,0.413,0.52,26,33,
5293,Solid State Sciences,4.42593934899E-06,1225,647,0.575,0.848,1.89,70,68,
5294,Journal of Occupational and Environmental Medicine,0.000004426,1152,731,0.908,0.876,1.58,67,60,
5295,Journal of Statistical Mechanics: Theory and Experiment,0.000004426,991,908,0.487,0.461,1.09,68,47,
5296,Expert Opinion on Investigational Drugs,0.000004426,1422,419,1.175,0.83,3.39,79,84,
5297,Soil Dynamics and Earthquake Engineering,0.000004426,1244,613,1.485,1.798,2.03,81,72,
5298,Echocardiography,0.000004426,973,940,0.505,0.68,1.04,46,48,
5299,Journal of Transport Geography,4.42615122117E-06,1385,454,1.558,1.976,3.05,85,79,
5300,Journal of Refractive Surgery,4.42616526235E-06,1384,454,2.142,1.452,3.05,96,69,
5301,Journal of Loss Prevention in the Process Industries,4.42635038139E-06,1315,544,0.747,1.83,2.42,77,76,
5302,Yuanzineng Kexue Jishu/Atomic Energy Science and Technology,4.42636246731E-06,265,1721,0.206,0.274,0.15,18,13,
5303,Expert Opinion on Investigational Drugs,4.42638031829E-06,1422,419,1.175,0.83,3.39,88,84,
5304,Hypertension Research,4.42638589023E-06,1354,514,1.353,1.235,2.63,74,71,
5305,Children and Youth Services Review,4.42644364119E-06,1129,766,0.655,1.046,1.47,57,64,
5306,Soil Dynamics and Earthquake Engineering,4.42656367241E-06,1244,613,1.485,1.798,2.03,85,72,
5307,Journal of Neuroscience Research,4.43381795481E-06,1360,512,1.126,0.763,2.66,44,80,
5308,Biomedical Chromatography,0.000004434,1148,741,0.47,0.703,1.55,40,66,
5309,Molecular Crystals and Liquid Crystals,4.43410011224E-06,766,1157,0.294,0.461,0.66,42,32,
5310,Journal of Marine Systems,4.43414593146E-06,1322,507,1.403,1.282,2.61,88,78,
5311,Fresenius Environmental Bulletin,4.43415051662E-06,469,1483,0.192,0.237,0.32,24,21,
5312,International Journal of Energy Research,4.43420814434E-06,1296,531,0.739,0.857,2.44,91,75,
5313,Asian Journal of Pharmaceutical and Clinical Research,4.43424774109E-06,657,1276,0.277,0.567,0.51,30,32,
5314,Journal of Marine Systems,4.43425248364E-06,1322,507,1.403,1.282,2.61,84,78,
5315,Biomedical Chromatography,4.4349474147E-06,1148,741,0.47,0.703,1.55,44,66,
5316,Disease Markers,0.000004435,1311,569,0.827,0.783,2.3,44,74,
5317,Journal of Applied Clinical Medical Physics,4.43511400939E-06,883,1028,0.513,0.699,0.86,43,45,
5318,Circulation: Cardiovascular Quality and Outcomes,4.43512902713E-06,1447,384,3.307,1.556,3.77,90,78,
5319,Planta Medica,4.43513637923E-06,1247,634,0.654,0.94,1.97,51,71,
5320,Chinese Optics Letters,4.43517663242E-06,866,1048,0.362,0.5,0.83,48,42,
5321,Journal of Refractive Surgery,4.43517853071E-06,1384,454,2.142,1.452,3.05,92,69,
5322,Soil Dynamics and Earthquake Engineering,4.43518118713E-06,1244,613,1.485,1.798,2.03,73,72,
5323,Hypertension Research,4.43521018278E-06,1354,514,1.353,1.235,2.63,63,71,
5324,Biomedical Chromatography,4.43522415784E-06,1148,741,0.47,0.703,1.55,49,66,
5325,Biomedical Chromatography,4.43530662276E-06,1148,741,0.47,0.703,1.55,45,66,
5326,Global Biogeochemical Cycles,4.43541520177E-06,1492,328,2.701,1.221,4.55,85,90,
5327,Asian Journal of Pharmaceutical and Clinical Research,4.43541715396E-06,657,1276,0.277,0.567,0.51,38,32,
5328,Echocardiography,4.43542187133E-06,973,940,0.505,0.68,1.04,41,48,
5329,International Journal of Geriatric Psychiatry,4.43570607203E-06,1321,516,1.349,1.285,2.56,80,74,
5330,Journal of Applied Clinical Medical Physics,4.43570999383E-06,883,1028,0.513,0.699,0.86,38,45,
5331,Journal of Marine Systems,4.43574173279E-06,1322,507,1.403,1.282,2.61,83,78,
5332,Journal of Statistical Mechanics: Theory and Experiment,4.43574188308E-06,991,908,0.487,0.461,1.09,48,47,
5333,International Journal of Geriatric Psychiatry,4.4357442814E-06,1321,516,1.349,1.285,2.56,79,74,
5334,Meccanica,4.43583737095E-06,1243,605,0.876,1.254,2.05,81,62,
5335,Chinese Optics Letters,4.43590589617E-06,866,1048,0.362,0.5,0.83,37,42,
5336,Fresenius Environmental Bulletin,4.43591288116E-06,469,1483,0.192,0.237,0.32,20,21,
5337,Journal of the Brazilian Chemical Society,4.43593603002E-06,1028,852,0.357,0.56,1.21,53,60,
5338,Biomedical Chromatography,4.43662761204E-06,1148,741,0.47,0.703,1.55,34,66,
5339,Future Microbiology,4.43683195402E-06,1392,438,1.465,0.957,3.18,81,76,
5340,Molecular Crystals and Liquid Crystals,4.43685303902E-06,766,1157,0.294,0.461,0.66,36,32,
5341,Journal of Applied Clinical Medical Physics,5.39336666204E-06,883,1028,0.513,0.699,0.86,33,45,
5342,Meccanica,5.39338100847E-06,1243,605,0.876,1.254,2.05,77,62,
5343,Optometry and Vision Science,5.39338144031E-06,1114,757,0.831,0.917,1.47,64,53,
5344,Journal of Finance,5.39351726736E-06,1548,220,20.973,5.685,7.04,99,91,
5345,Asian Pacific Journal of Tropical Biomedicine,5.39363326541E-06,1195,657,0.542,1.22,1.82,73,63,
5346,Meccanica,5.39952079798E-06,1243,605,0.876,1.254,2.05,73,62,
5347,Optometry and Vision Science,5.39952207065E-06,1114,757,0.831,0.917,1.47,60,53,
5348,Experimental Parasitology,5.39952486039E-06,1219,617,0.758,0.83,1.98,79,71,
5349,International Journal of Energy Research,5.39952694735E-06,1296,531,0.739,0.857,2.44,81,75,
5350,Telemedicine Journal and e-Health,5.39955895578E-06,970,915,0.481,0.674,1.06,56,45,
5351,International Journal of Energy Research,5.39956320652E-06,1296,531,0.739,0.857,2.44,83,75,
5352,Journal of Economic Behavior and Organization,5.39956899813E-06,1164,682,1.665,1.341,1.71,76,62,
5353,Molecular Crystals and Liquid Crystals,5.39958709367E-06,766,1157,0.294,0.461,0.66,32,32,
5354,Planta Medica,5.39971540152E-06,1247,634,0.654,0.94,1.97,35,71,
5355,Asian Journal of Pharmaceutical and Clinical Research,5.39973683719E-06,657,1276,0.277,0.567,0.51,24,32,
5356,Gynecological Endocrinology,5.4002740764E-06,1147,706,0.663,0.753,1.62,65,65,
5357,Habitat International,5.40027742362E-06,1319,486,1.078,1.663,2.71,96,80,
5358,Advanced Materials Interfaces,5.40027806829E-06,1410,395,1.451,0.819,3.57,93,82,
5359,Future Microbiology,5.40029976138E-06,1392,438,1.465,0.957,3.18,75,76,
5360,Advanced Materials Interfaces,5.40035773048E-06,1410,395,1.451,0.819,3.57,94,82,
5361,Journal of Economic Behavior and Organization,5.40040837011E-06,1164,682,1.665,1.341,1.71,78,62,
5362,Materials and Structures/Materiaux et Constructions,5.40086058373E-06,1235,592,1.129,1.533,2.09,86,68,
5363,Journal of Engineering for Gas Turbines and Power,5.40090390774E-06,1146,690,0.542,1.052,1.66,83,63,
5364,Journal of Wind Engineering and Industrial Aerodynamics,5.40185457492E-06,1307,501,1.002,1.92,2.61,89,77,
5365,Clean Technologies and Environmental Policy,5.40185921465E-06,1365,445,0.799,1.276,3.07,84,80,
5366,Journal of Engineering for Gas Turbines and Power,5.4018602942E-06,1146,690,0.542,1.052,1.66,77,63,
5367,Biomedical Chromatography,5.40191534842E-06,1148,741,0.47,0.703,1.55,23,66,
5368,Journal of Wind Engineering and Industrial Aerodynamics,0.000005402,1307,501,1.002,1.92,2.61,87,77,
5369,International Journal of Medical Sciences,0.000005402,1298,508,0.919,1.083,2.56,87,80,
5370,Archives of Oral Biology,5.40213964211E-06,1202,624,0.712,0.883,1.93,84,69,
5371,Computational Mechanics,5.40213974716E-06,1347,459,1.603,1.339,2.93,94,73,
5372,Phytopathology,5.40214404466E-06,1345,459,1.303,1.411,2.93,86,82,
5373,Immunology Letters,5.40214494543E-06,1333,510,1.208,0.807,2.61,62,73,
5374,Wuhan Ligong Daxue Xuebao (Jiaotong Kexue Yu Gongcheng Ban)/Journal of Wuhan University of Technology (Transportation Science and Engineering),5.40215665493E-06,172,1793,0.118,0.131,0.1,11,8,
5375,Archives of Oral Biology,5.40215731642E-06,1202,624,0.712,0.883,1.93,86,69,
5376,Clean Technologies and Environmental Policy,5.4021703219E-06,1365,445,0.799,1.276,3.07,90,80,
5377,Materials and Structures/Materiaux et Constructions,5.4021719302E-06,1235,592,1.129,1.533,2.09,85,68,
5378,Materials and Structures/Materiaux et Constructions,5.40217462431E-06,1235,592,1.129,1.533,2.09,78,68,
5379,Fresenius Environmental Bulletin,5.40217795747E-06,469,1483,0.192,0.237,0.32,10,21,
5380,Science China: Physics  Mechanics and Astronomy,5.40228328401E-06,1082,776,0.4,0.769,1.39,66,55,
5381,Wuhan Ligong Daxue Xuebao (Jiaotong Kexue Yu Gongcheng Ban)/Journal of Wuhan University of Technology (Transportation Science and Engineering),5.40228398756E-06,172,1793,0.118,0.131,0.1,8,8,
5382,Phytopathology,5.40229052212E-06,1345,459,1.303,1.411,2.93,90,82,
5383,South African Medical Journal,5.40232394497E-06,755,1150,0.501,0.62,0.66,42,33,
5384,Digital Signal Processing: A Review Journal,5.40642857211E-06,1279,542,0.621,1.339,2.36,80,72,
5385,Computational Mechanics,5.40643229467E-06,1347,459,1.603,1.339,2.93,92,73,
5386,Tien Tzu Hsueh Pao/Acta Electronica Sinica,5.40643959716E-06,734,1163,0.253,0.547,0.63,40,38,
5387,Journal of Engineering for Gas Turbines and Power,5.40643988483E-06,1146,690,0.542,1.052,1.66,74,63,
5388,Ecotoxicology,0.000005407,1256,558,0.768,0.843,2.25,83,75,
5389,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,5.40713271781E-06,827,1050,0.423,0.807,0.79,51,46,
5390,Ecotoxicology,5.40717844018E-06,1256,558,0.768,0.843,2.25,81,75,
5391,Immunology Letters,5.40717890659E-06,1333,510,1.208,0.807,2.61,54,73,
5392,Materials and Structures/Materiaux et Constructions,5.40720607503E-06,1235,592,1.129,1.533,2.09,74,68,
5393,Journal of Engineering for Gas Turbines and Power,5.40724305429E-06,1146,690,0.542,1.052,1.66,73,63,
5394,Archives of Oral Biology,5.40724317072E-06,1202,624,0.712,0.883,1.93,77,69,
5395,Computational Mechanics,5.40724933849E-06,1347,459,1.603,1.339,2.93,90,73,
5396,Philosophical Magazine,5.40726896752E-06,1064,795,0.735,0.714,1.34,55,59,
5397,Journal of Enzyme Inhibition and Medicinal Chemistry,5.41037616781E-06,1385,420,0.88,0.847,3.3,93,70,
5398,Yonsei Medical Journal,5.41089036783E-06,1108,730,0.593,0.834,1.52,68,64,
5399,Computational Mechanics,5.4108987285E-06,1347,459,1.603,1.339,2.93,88,73,
5400,Respiratory Physiology and Neurobiology,5.41116954946E-06,1202,636,0.877,0.864,1.89,62,69,
5401,International Journal of Energy Research,5.41252672308E-06,1296,531,0.739,0.857,2.44,66,75,
5402,Journal of Engineering for Gas Turbines and Power,5.41254922573E-06,1146,690,0.542,1.052,1.66,70,63,
5403,Journal of Experimental Child Psychology,5.41255519326E-06,1353,444,1.96,1.369,3.05,89,80,
5404,Telemedicine Journal and e-Health,5.41259504988E-06,970,915,0.481,0.674,1.06,40,45,
5405,Materials and Manufacturing Processes,5.41260627633E-06,1192,625,0.687,1.17,1.91,81,70,
5406,Expert Opinion on Drug Safety,5.43321453082E-06,1373,423,1.297,1.035,3.25,92,77,
5407,Biochimica et Biophysica Acta - Reviews on Cancer,5.43322045537E-06,1587,178,3.686,2.119,8.92,96,95,
5408,Telemedicine Journal and e-Health,5.43322322588E-06,970,915,0.481,0.674,1.06,38,45,
5409,Materials and Manufacturing Processes,5.43322884077E-06,1192,625,0.687,1.17,1.91,79,70,
5410,Clinical Journal of Pain,5.43324883154E-06,1350,443,1.41,1.333,3.05,92,80,
5411,Journal of Industrial Microbiology and Biotechnology,5.43332879786E-06,1338,467,0.941,0.944,2.87,78,81,
5412,Journal of Experimental Child Psychology,5.43333846968E-06,1353,444,1.96,1.369,3.05,85,80,
5413,Clean Technologies and Environmental Policy,5.43358811975E-06,1365,445,0.799,1.276,3.07,73,80,
5414,Digital Signal Processing: A Review Journal,5.4336473869E-06,1279,542,0.621,1.339,2.36,71,72,
5415,Insect Biochemistry and Molecular Biology,5.43372898488E-06,1404,380,1.845,1.049,3.69,97,84,
5416,Journal of Diabetes Research,5.43689968242E-06,1318,500,1.027,0.874,2.64,65,78,
5417,Experimental Parasitology,5.43711150976E-06,1219,617,0.758,0.83,1.98,55,71,
5418,Information and Software Technology,5.43723057285E-06,1404,389,0.788,2.525,3.61,88,80,
5419,Journal of Industrial Microbiology and Biotechnology,5.43725364344E-06,1338,467,0.941,0.944,2.87,75,81,
5420,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,5.43726891434E-06,827,1050,0.423,0.807,0.79,42,46,
5421,Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,5.4372751294E-06,517,1392,0.16,0.278,0.37,29,27,
5422,Materials and Manufacturing Processes,5.43728705978E-06,1192,625,0.687,1.17,1.91,75,70,
5423,Biochimica et Biophysica Acta - Reviews on Cancer,5.43785728938E-06,1587,178,3.686,2.119,8.92,97,95,
5424,Current Drug Targets,0.000005439,1339,473,1.135,0.839,2.83,71,74,
5425,Clinical Journal of Pain,5.43908486536E-06,1350,443,1.41,1.333,3.05,83,80,
5426,Gynecological Endocrinology,5.43909010075E-06,1147,706,0.663,0.753,1.62,41,65,
5427,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,5.43911289826E-06,827,1050,0.423,0.807,0.79,37,46,
5428,Journal of Diabetes Research,5.43960867076E-06,1318,500,1.027,0.874,2.64,62,78,
5429,Expert Opinion on Drug Safety,5.43966598471E-06,1373,423,1.297,1.035,3.25,84,77,
5430,Journal of the International AIDS Society,5.43972004417E-06,1397,381,2.118,1.352,3.67,96,84,
5431,Materials Science and Technology,5.44012908955E-06,1077,753,0.814,0.812,1.43,69,59,
5432,Materials and Manufacturing Processes,5.44014245889E-06,1192,625,0.687,1.17,1.91,70,70,
5433,Military Medicine,5.4404539331E-06,845,1024,0.392,0.54,0.83,48,42,
5434,Kongzhi yu Juece/Control and Decision,5.4405166789E-06,790,1090,0.251,0.534,0.72,37,40,
5435,Journal of Wind Engineering and Industrial Aerodynamics,5.44058430235E-06,1307,501,1.002,1.92,2.61,68,77,
5436,Seminars in Arthritis and Rheumatism,5.44084812008E-06,1450,319,1.959,1.889,4.55,96,87,
5437,Journal of Enzyme Inhibition and Medicinal Chemistry,5.44090584614E-06,1385,420,0.88,0.847,3.3,80,70,
5438,Drying Technology,5.44091663973E-06,1170,648,0.777,1.085,1.81,72,65,
5439,Journal of Cancer Research and Therapeutics,0.000005441,837,1032,0.317,0.506,0.81,47,42,
5440,Current Drug Targets,5.44105131796E-06,1339,473,1.135,0.839,2.83,69,74,
5441,Journal of Clinical Immunology,5.44108130364E-06,1370,435,1.626,1.089,3.15,72,77,
5442,Tribology Letters,5.4411244603E-06,1210,592,1.016,1.278,2.04,80,72,
5443,Journal of Enzyme Inhibition and Medicinal Chemistry,5.44113721944E-06,1385,420,0.88,0.847,3.3,78,70,
5444,Gynecological Endocrinology,0.000005443,1147,706,0.663,0.753,1.62,33,65,
5445,Journal of Clinical Immunology,5.4431904836E-06,1370,435,1.626,1.089,3.15,67,77,
5446,Chaos,5.44320415648E-06,1148,653,0.672,0.827,1.76,85,64,
5447,Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,5.44321546258E-06,517,1392,0.16,0.278,0.37,18,27,
5448,Transportation Research  Part E: Logistics and Transportation Review,5.44323285593E-06,1394,379,1.694,1.763,3.68,90,83,
5449,Surface and Interface Analysis,5.44325327687E-06,1002,840,0.439,0.661,1.19,56,55,
5450,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,5.44326505436E-06,827,1050,0.423,0.807,0.79,31,46,
5451,Tribology Letters,5.4432677733E-06,1210,592,1.016,1.278,2.04,76,72,
5452,Surface and Interface Analysis,5.44326784936E-06,1002,840,0.439,0.661,1.19,55,55,
5453,Transportation Research  Part E: Logistics and Transportation Review,5.44329030325E-06,1394,379,1.694,1.763,3.68,93,83,
5454,Respiratory Physiology and Neurobiology,5.4433172094E-06,1202,636,0.877,0.864,1.89,42,69,
5455,Surface and Interface Analysis,5.44331801989E-06,1002,840,0.439,0.661,1.19,53,55,
5456,Materials Science and Technology,5.44334816706E-06,1077,753,0.814,0.812,1.43,60,59,
5457,Military Medicine,5.44336013083E-06,845,1024,0.392,0.54,0.83,39,42,
5458,Journal of Abnormal Child Psychology,5.44337157846E-06,1406,361,2.359,1.734,3.89,92,84,
5459,Journal of Abnormal Child Psychology,5.44348217994E-06,1406,361,2.359,1.734,3.89,94,84,
5460,Insect Biochemistry and Molecular Biology,5.44354587146E-06,1404,380,1.845,1.049,3.69,82,84,
5461,Journal of Physical Activity and Health,5.44384664556E-06,1211,590,0.998,0.887,2.05,80,66,
5462,Kongzhi yu Juece/Control and Decision,0.000005444,790,1090,0.251,0.534,0.72,29,40,
5463,Tribology Letters,5.44406457753E-06,1210,592,1.016,1.278,2.04,72,72,
5464,Surface and Interface Analysis,5.44406561338E-06,1002,840,0.439,0.661,1.19,51,55,
5465,Materials Science and Technology,5.44407876857E-06,1077,753,0.814,0.812,1.43,58,59,
5466,Respiratory Physiology and Neurobiology,5.44418258877E-06,1202,636,0.877,0.864,1.89,47,69,
5467,Seminars in Arthritis and Rheumatism,5.44418693184E-06,1450,319,1.959,1.889,4.55,93,87,
5468,Journal of the International AIDS Society,5.44420092299E-06,1397,381,2.118,1.352,3.67,88,84,
5469,Materials Science and Technology,5.4442191091E-06,1077,753,0.814,0.812,1.43,65,59,
5470,Ecotoxicology,5.44431666014E-06,1256,558,0.768,0.843,2.25,56,75,
5471,Ecotoxicology,5.44439871106E-06,1256,558,0.768,0.843,2.25,65,75,
5472,Computational and Mathematical Methods in Medicine,5.44458929395E-06,990,840,0.381,0.674,1.18,63,54,
5473,International Forum of Allergy and Rhinology,5.44459018667E-06,1224,559,1.272,1.043,2.19,93,69,
5474,Physical Therapy,5.44463512677E-06,1262,534,1.193,1.321,2.36,92,65,
5475,BioScience,5.44934741709E-06,1332,459,2.039,1.814,2.9,91,58,
5476,Insect Biochemistry and Molecular Biology,5.44972431369E-06,1404,380,1.845,1.049,3.69,73,84,
5477,Kongzhi yu Juece/Control and Decision,5.44979277823E-06,790,1090,0.251,0.534,0.72,26,40,
5478,Chaos,5.4497960061E-06,1148,653,0.672,0.827,1.76,79,64,
5479,British Journal of Oral and Maxillofacial Surgery,0.00000545,1009,820,0.696,1.042,1.23,64,51,
5480,Current Drug Targets,5.45015553724E-06,1339,473,1.135,0.839,2.83,57,74,
5481,Acta crystallographica. Section C  Structural chemistry,5.45036683522E-06,1379,435,0.97,1.523,3.17,91,38,
5482,Chaos,5.45037322247E-06,1148,653,0.672,0.827,1.76,80,64,
5483,Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,5.45038684244E-06,517,1392,0.16,0.278,0.37,11,27,
5484,Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice,5.45380305285E-06,704,1166,0.27,0.541,0.6,38,36,
5485,Computational and Mathematical Methods in Medicine,5.45381019427E-06,990,840,0.381,0.674,1.18,59,54,
5486,Experimental Parasitology,5.45381141054E-06,1219,617,0.758,0.83,1.98,35,71,
5487,Journal of Cancer Research and Therapeutics,5.45383877044E-06,837,1032,0.317,0.506,0.81,32,42,
5488,Surface and Interface Analysis,5.45386291653E-06,1002,840,0.439,0.661,1.19,47,55,
5489,World Psychiatry,5.45387413764E-06,1503,253,5.793,3.882,5.94,98,77,
5490,European Food Research and Technology,5.45408377437E-06,1153,636,0.742,0.882,1.81,80,72,
5491,Acta crystallographica. Section C  Structural chemistry,5.45411442108E-06,1379,435,0.97,1.523,3.17,88,38,
5492,Molecular Metabolism,5.45411898993E-06,1503,260,3.938,1.528,5.78,90,82,
5493,Drying Technology,5.45587264761E-06,1170,648,0.777,1.085,1.81,57,65,
5494,Seminars in Immunology,5.45589309838E-06,1561,176,5.611,2.288,8.87,96,94,
5495,Seminars in Immunology,5.45614105813E-06,1561,176,5.611,2.288,8.87,95,94,
5496,BMC Geriatrics,5.45615858235E-06,1311,465,1.133,1.273,2.82,83,79,
5497,Experimental Physiology,5.45619145129E-06,1278,530,1.182,0.922,2.41,57,74,
5498,Metabolomics,5.45652970874E-06,1386,379,1.119,1.042,3.66,86,84,
5499,Acta crystallographica. Section C  Structural chemistry,5.45653265509E-06,1379,435,0.97,1.523,3.17,83,38,
5500,Metabolomics,5.45656079399E-06,1386,379,1.119,1.042,3.66,84,84,
5501,Chaos,5.45656094231E-06,1148,653,0.672,0.827,1.76,72,64,
5502,British Journal of Oral and Maxillofacial Surgery,5.45658563288E-06,1009,820,0.696,1.042,1.23,56,51,
5503,Journal of Applied Geophysics,5.45663453129E-06,1143,664,0.696,1.222,1.72,66,66,
5504,Computational and Mathematical Methods in Medicine,5.456641686E-06,990,840,0.381,0.674,1.18,55,54,
5505,ACM SIGPLAN Notices,5.4566492976E-06,964,866,0.373,0.724,1.11,63,46,
5506,Journal of Cancer Research and Therapeutics,0.000005459,837,1032,0.317,0.506,0.81,26,42,
5507,Journal of Research in Medical Sciences,0.000005459,1082,736,0.378,0.89,1.47,66,52,
5508,International Journal for Parasitology,5.49253357065E-06,1412,339,1.845,1.676,4.17,93,86,
5509,Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice,5.49253556005E-06,704,1166,0.27,0.541,0.6,30,36,
5510,Chemical Engineering and Processing: Process Intensification,5.49307865498E-06,1274,495,0.766,1.205,2.57,86,77,
5511,Science China Information Sciences,5.49311020769E-06,1096,704,0.445,0.922,1.56,75,59,
5512,Chemical Engineering and Processing: Process Intensification,5.4931181865E-06,1274,495,0.766,1.205,2.57,84,77,
5513,Metabolomics,5.49313335984E-06,1386,379,1.119,1.042,3.66,81,84,
5514,Revista de Chimie,5.49314066538E-06,853,997,0.261,0.692,0.86,43,42,
5515,International Journal for Parasitology,5.49314085165E-06,1412,339,1.845,1.676,4.17,90,86,
5516,Acta crystallographica. Section C  Structural chemistry,5.49314828261E-06,1379,435,0.97,1.523,3.17,78,38,
5517,European Food Research and Technology,5.4931573669E-06,1153,636,0.742,0.882,1.81,72,72,
5518,Computational and Mathematical Methods in Medicine,5.49316389712E-06,990,840,0.381,0.674,1.18,50,54,
5519,Virchows Archiv,5.49337387666E-06,1259,512,1.118,1.035,2.46,86,72,
5520,Development and Psychopathology,5.49337402101E-06,1379,372,2.089,1.289,3.71,94,81,
5521,British Journal of Oral and Maxillofacial Surgery,5.49341008808E-06,1009,820,0.696,1.042,1.23,50,51,
5522,Chemical Engineering and Processing: Process Intensification,5.49344893927E-06,1274,495,0.766,1.205,2.57,82,77,
5523,Hepatology Research,5.49347131789E-06,1228,567,0.872,0.875,2.17,64,70,
5524,Chemical Engineering and Processing: Process Intensification,5.49377461745E-06,1274,495,0.766,1.205,2.57,79,77,
5525,Archives of Oral Biology,5.49381119027E-06,1202,624,0.712,0.883,1.93,32,69,
5526,Development and Psychopathology,5.49381280767E-06,1379,372,2.089,1.289,3.71,91,81,
5527,European Food Research and Technology,5.49441534027E-06,1153,636,0.742,0.882,1.81,67,72,
5528,Virchows Archiv,5.49442549656E-06,1259,512,1.118,1.035,2.46,83,72,
5529,Psychophysiology,5.49448505607E-06,1308,455,1.54,1.111,2.87,84,79,
5530,Pharmacoepidemiology and Drug Safety,5.49532996252E-06,1265,519,1.479,1.238,2.44,68,72,
5531,Hepatology Research,5.49543760274E-06,1228,567,0.872,0.875,2.17,58,70,
5532,Ecosystems,5.49544231749E-06,1414,321,2.013,1.564,4.4,94,90,
5533,Psychophysiology,5.4954423867E-06,1308,455,1.54,1.111,2.87,79,79,
5534,Marine Environmental Research,5.49549029149E-06,1333,412,1.092,1.083,3.24,94,83,
5535,International Journal of Multiphase Flow,5.49626299696E-06,1304,442,1.273,2.127,2.95,92,81,
5536,Occupational and Environmental Medicine,5.49627934815E-06,1277,487,1.623,1.603,2.62,87,69,
5537,Marine Environmental Research,5.4962874553E-06,1333,412,1.092,1.083,3.24,92,83,
5538,International Journal of Multiphase Flow,5.50060146115E-06,1304,442,1.273,2.127,2.95,90,81,
5539,European Food Research and Technology,5.50061477898E-06,1153,636,0.742,0.882,1.81,59,72,
5540,Marine Environmental Research,5.50062118505E-06,1333,412,1.092,1.083,3.24,90,83,
5541,Polymers,5.50075350233E-06,1379,369,0.96,1.372,3.74,90,80,
5542,Biosystems Engineering,5.50079284081E-06,1269,480,0.738,1.573,2.64,94,75,
5543,Animal Reproduction Science,5.50080509354E-06,1112,654,0.652,1.088,1.7,83,70,
5544,Chemical Engineering and Processing: Process Intensification,0.000005502,1274,495,0.766,1.205,2.57,70,77,
5545,International Journal of Medical Informatics,0.000005502,1374,371,1.215,2.027,3.7,86,84,
5546,Polymers,5.50209932131E-06,1379,369,0.96,1.372,3.74,87,80,
5547,Photosynthesis Research,5.50226835302E-06,1368,374,1.617,1.247,3.66,94,78,
5548,Midwifery,5.50390707607E-06,1165,598,1.046,1.061,1.95,82,71,
5549,Psychophysiology,5.50393353133E-06,1308,455,1.54,1.111,2.87,72,79,
5550,ACS Symposium Series,5.50394261661E-06,355,1525,0.16,0.167,0.23,23,16,
5551,Animal Feed Science and Technology,5.50441826671E-06,1187,563,0.903,1.425,2.11,90,75,
5552,Marine Environmental Research,5.504426726E-06,1333,412,1.092,1.083,3.24,86,83,
5553,Ecosystems,5.50461903091E-06,1414,321,2.013,1.564,4.4,84,90,
5554,Psychophysiology,5.50476906183E-06,1308,455,1.54,1.111,2.87,70,79,
5555,Photosynthesis Research,5.50477487284E-06,1368,374,1.617,1.247,3.66,91,78,
5556,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,5.50477822862E-06,1056,738,0.589,0.868,1.43,71,50,
5557,Journal of Dermatological Science,5.50484254491E-06,1263,489,1.304,1.182,2.58,89,73,
5558,Animal Reproduction Science,5.50485568516E-06,1112,654,0.652,1.088,1.7,79,70,
5559,Pharmacoepidemiology and Drug Safety,5.50488067152E-06,1265,519,1.479,1.238,2.44,57,72,
5560,Endocrine Practice,5.50546820452E-06,1146,642,0.885,0.923,1.79,74,50,
5561,Journal of Science and Medicine in Sport,0.000005506,1346,389,1.691,1.694,3.46,95,80,
5562,Biosystems Engineering,5.5061666026E-06,1269,480,0.738,1.573,2.64,87,75,
5563,Journal of Microelectromechanical Systems,5.50620853968E-06,1191,570,0.712,1.223,2.09,81,70,
5564,Computational and Mathematical Methods in Medicine,5.5095075309E-06,990,840,0.381,0.674,1.18,24,54,
5565,Pediatric Dermatology,5.50956091619E-06,946,855,0.527,0.837,1.11,55,51,
5566,Midwifery,5.5095870331E-06,1165,598,1.046,1.061,1.95,72,71,
